FeatureID,Name,Formula,Annotation_level,use_Sirius_class,molecularFormula,adduct,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#all classifications
FT_0.891_214.98862,no name,C3 H7 N2 O5 P S,L3.3,yes,C3H7N2O5PS,[M + H]+,C3H7N2O5PS,Amino acids and Peptides,0.806994379,Small peptides,0.971160412,Aminoacids,0.892258465,Organic sulfuric acids and derivatives,0.679933488,NA,NA,NA,NA,Organic sulfuric acids and derivatives,0.679933488,Organic acids and derivatives,0.990548313,Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic sulfuric acids and derivatives; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.891_230.96632,no name,C3 H7 N2 O4 P S2,L3.3,yes,C3H7N2O4PS2,[M + H]+,C3H7N2O4PS2,Amino acids and Peptides,0.636826873,Small peptides,0.962614834,Aminoacids,0.835434437,Heteroaromatic compounds,0.767679989,NA,NA,NA,NA,Heteroaromatic compounds,0.767679989,Organoheterocyclic compounds,0.997387707,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organothiophosphorus compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.892_214.91758,no name,C2 H3 N2 O2 P S3,L3.3,yes,C2H3N2O2PS3,[M + H]+,C2H3N2O2PS3,Alkaloids,0.748175204,Pseudoalkaloids,0.113472626,Aminoacids,0.156812668,Thiadiazoles,0.73001653,NA,NA,Thiadiazoles,0.73001653,Azoles,0.999434888,Organoheterocyclic compounds,0.997792006,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiadiazoles; Organonitrogen compounds; Organooxygen compounds; Azoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.892_218.98361,no name,C3 H8 O7 P2,L3.3,yes,C3H8O7P2,[M + H]+,C3H8O7P2,Fatty acids,0.509868264,Saccharides,0.478332341,Monosaccharides,0.137777001,Bisphosphonates,0.608023584,NA,NA,Bisphosphonates,0.608023584,Organic phosphonic acids and derivatives,0.970150471,Organic acids and derivatives,0.996518493,Organic compounds; Organic acids and derivatives; Bisphosphonates; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic phosphonic acids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Chemical entities
FT_0.892_232.92815,no name,C6 H2 N O3 S3,L3.3,yes,C6H2NO3S3,[M + H]+,C6H2NO3S3,Alkaloids,0.771556556,Coumarins,0.048852704,Simple coumarins,0.01703769,Heteroaromatic compounds,0.920333683,NA,NA,NA,NA,Heteroaromatic compounds,0.920333683,Organoheterocyclic compounds,0.973687589,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic oxides; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.892_232.99927,no name,C7H6NO6S,L3.3,yes,C4H10O7P2,[M + H]+,C4H10O7P2,Fatty acids,0.940289676,Fatty esters,0.796339989,Wax monoesters,0.60552448,Alkyl phosphates,0.888455093,Alkyl phosphates,0.888455093,Phosphate esters,0.938515365,Organic phosphoric acids and derivatives,0.981750786,Organic acids and derivatives,0.999847889,Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Methyl esters; Alkyl phosphates; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Chemical entities
FT_0.892_344.87556,no name,C6 H4 N O6 P2 S3,L3.3,yes,C6H4NO6P2S3,[M + H]+,C6H4NO6P2S3,Alkaloids,0.779824257,Nicotinic acid alkaloids,0.211407766,Pyridine alkaloids,0.202388376,Heteroaromatic compounds,0.968746245,NA,NA,NA,NA,Heteroaromatic compounds,0.968746245,Organoheterocyclic compounds,0.993332207,Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organooxygen compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.893_182.96245,no name,C2 H3 N2 O4 P S,L3.3,yes,C2H3N2O4PS,[M + H]+,C2H3N2O4PS,Alkaloids,0.543319166,Small peptides,0.249319032,Pyridine alkaloids,0.023086974,Heteroaromatic compounds,0.920464575,NA,NA,NA,NA,Heteroaromatic compounds,0.920464575,Organoheterocyclic compounds,0.997305393,Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.895_143.99682,no name,C H5 N O5 S,L3.3,yes,CH5NO5S,[M + H]+,CH5NO5S,Amino acids and Peptides,0.991992354,Small peptides,0.998902678,Aminoacids,0.993389249,Alpha amino acids and derivatives,0.564536572,Amino acids and derivatives,0.384138882,"Amino acids, peptides, and analogues",0.367968798,Carboxylic acids and derivatives,0.43881157,Organic acids and derivatives,0.999813259,Organic compounds; Alpha amino acids and derivatives; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic sulfuric acids and derivatives; Monoalkylamines; Carbonyl compounds; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.904_189.00708,no name,C4 H4 N4 O3 S,L3.3,yes,C4H4N4O3S,[M + H]+,C4H4N4O3S,Alkaloids,0.700569689,Pseudoalkaloids,0.594628394,pteridine alkaloids,0.385337323,Aryl thioethers,0.587070048,NA,NA,Aryl thioethers,0.587070048,Thioethers,0.305746704,Organosulfur compounds,0.891394675,"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Sulfenyl compounds; Imidolactams; Organic oxides; 1,2,4-triazines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Aryl thioethers; Organic nitrogen compounds; Chemical entities"
FT_0.969_288.92204,no name,C7 N2 O7 S2,L3.3,yes,C7N2O7S2,[M + H]+,C7N2O7S2,Alkaloids,0.534998953,Pseudoalkaloids,0.078864254,Pyrrole alkaloids,0.002501635,Sulfonyls,0.634950519,NA,NA,NA,NA,Sulfonyls,0.634950519,Organosulfur compounds,0.197759569,"Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfonyls; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
FT_0.980_498.90137,no name,C9 H13 N2 O10 P3 S3,L3.3,yes,C9H13N2O10P3S3,[M + H]+,C9H13N2O10P3S3,Alkaloids,0.806428492,Nicotinic acid alkaloids,0.156184882,Pyridine alkaloids,0.194581851,Pyrimidines and pyrimidine derivatives,0.681918263,NA,NA,Pyrimidines and pyrimidine derivatives,0.681918263,Diazines,0.899431884,Organoheterocyclic compounds,0.999983668,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Diazines; Organothiophosphorus compounds; Sulfenyl compounds; Organic dithiophosphoric acids and derivatives; Dithiophosphate S-esters; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Dithiophosphate O-esters; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.981_294.93894,no name,C8 H8 O4 P2 S2,L3.3,yes,C8H8O4P2S2,[M + H]+,C8H8O4P2S2,Shikimates and Phenylpropanoids,0.753703177,Coumarins,0.117852911,Isocoumarins,0.076835074,Aryl thiophosphates,0.797660828,Aryl thiophosphates,0.797660828,Thiophosphoric acid esters,0.627647698,Organic thiophosphoric acids and derivatives,0.51305455,Organic acids and derivatives,0.537824035,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Organic thiophosphoric acids and derivatives; Organothiophosphorus compounds; Thiophosphoric acid esters; Benzenoids; Sulfenyl compounds; Thiophosphate triesters; Organic dithiophosphoric acids and derivatives; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Dithiophosphate O-esters; Organic oxygen compounds; Aryl thiophosphates; Chemical entities
FT_0.981_310.91292,no name,C4 H N4 O7 P3,L3.3,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FT_0.981_378.90035,no name,C6 H5 O13 P3,L3.3,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FT_0.981_446.88778,no name,C5 H9 N2 O12 P3 S2,L3.3,yes,C5H9N2O12P3S2,[M + H]+,C5H9N2O12P3S2,Alkaloids,0.99367851,Nicotinic acid alkaloids,0.130320802,Pyridine alkaloids,0.133295491,Alkyl phosphates,0.663766503,Alkyl phosphates,0.663766503,Phosphate esters,0.889570236,Organic phosphoric acids and derivatives,0.935082674,Organic acids and derivatives,0.997160554,Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Azoles; Diazines; Alkyl phosphates; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.981_514.87531,no name,C10 H14 O10 P4 S3,L3.3,yes,C10H14O10P4S3,[M + H]+,C10H14O10P4S3,Shikimates and Phenylpropanoids,0.285696387,Fatty acyls,0.011950604,Simple coumarins,0.002057576,Aryl thiophosphates,0.649371147,Aryl thiophosphates,0.649371147,Thiophosphoric acid esters,0.418285221,Organic thiophosphoric acids and derivatives,0.380149543,Organic acids and derivatives,0.967386842,Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organooxygen compounds; Organic dithiophosphoric acids and derivatives; Dithiophosphate S-esters; Organic oxides; Heteroaromatic compounds; Hydrocarbon derivatives; Dithiophosphate O-esters; Organic oxygen compounds; Aryl thiophosphates; Chemical entities
FT_0.981_566.88882,no name,C14 H8 N4 O11 P2 S3,L3.3,yes,C14H8N4O11P2S3,[M + H]+,C14H8N4O11P2S3,Alkaloids,0.943824649,Pseudoalkaloids,0.59439218,Quinazoline alkaloids,0.199467972,Nitrobenzenes,0.729199052,NA,NA,Nitrobenzenes,0.729199052,Benzene and substituted derivatives,0.392832726,Benzenoids,0.945071638,"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Nitrobenzenes; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Organic nitro compounds; Organic oxoazanium compounds; Benzenoids; Organic cations; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; C-nitro compounds; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities"
FT_0.982_650.85025,no name,C10 H13 N4 O15 P3 S4,L3.3,yes,C10H13N4O15P3S4,[M + H]+,C10H13N4O15P3S4,Alkaloids,0.16728808,Nucleosides,0.087118156,Pyrimidine nucleos(t)ides,0.057062607,Aminopyrimidines and derivatives,0.504766047,Aminopyrimidines and derivatives,0.504766047,Pyrimidines and pyrimidine derivatives,0.221610397,Diazines,0.356614023,Organoheterocyclic compounds,0.999194324,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Organic phosphoric acids and derivatives; Azoles; Aminopyrimidines and derivatives; Oxolanes; Amines; Primary amines; Sulfenyl compounds; Organic dithiophosphoric acids and derivatives; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Dithiophosphate O-esters; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.982_718.83752,no name,C14 H18 N4 O10 P4 S6,L3.3,yes,C14H18N4O10P4S6,[M + H]+,C14H18N4O10P4S6,Alkaloids,0.857872367,Ornithine alkaloids,0.021154404,Pyridine alkaloids,0.005761989,Dithiophosphate O-esters,0.647494078,NA,NA,Dithiophosphate O-esters,0.647494078,Organic dithiophosphoric acids and derivatives,0.567612886,Organic acids and derivatives,0.992418885,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Organothiophosphorus compounds; Amines; Primary amines; Sulfenyl compounds; Organic dithiophosphoric acids and derivatives; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Dithiophosphate O-esters; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.983_546.82330,no name,C7 H6 N2 O15 P4 S2,L3.3,yes,C7H6N2O15P4S2,[M + H]+,C7H6N2O15P4S2,Alkaloids,0.766310215,Pseudoalkaloids,0.196482345,Pyridine alkaloids,0.03116791,Nitroaromatic compounds,0.653914034,C-nitro compounds,0.86053896,Organic nitro compounds,0.940891683,"Allyl-type 1,3-dipolar organic compounds",0.81855464,"Organic 1,3-dipolar compounds",0.616581976,"Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic nitro compounds; Sulfonyls; Organic oxoazanium compounds; Organic cations; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities"
FT_0.983_630.78465,no name,C8 H12 O15 P6 S3,L3.3,yes,C8H12O15P6S3,[M + H]+,C8H12O15P6S3,Fatty acids,0.885622025,Fatty acyls,0.239330202,Marine-bacterial DPEs,0.004096662,Organic phosphoric acids and derivatives,0.58961165,NA,NA,NA,NA,Organic phosphoric acids and derivatives,0.58961165,Organic acids and derivatives,0.9992342,Organic compounds; Organic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
FT_1.040_257.17208,no name,C10 H20 N6 O2,L3.2,yes,C10H20N6O2,[M + H]+,C10H20N6O2,Amino acids and Peptides,0.649662375,Small peptides,0.805949211,Aminoacids,0.366297811,Alpha amino acids,0.69633168,Amino acids and derivatives,0.933477819,"Amino acids, peptides, and analogues",0.935011268,Carboxylic acids and derivatives,0.933916271,Organic acids and derivatives,0.869978428,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
FT_1.081_154.13391,no name,C8 H15 N3,L3.3,yes,C8H15N3,[M + H]+,C8H15N3,Alkaloids,0.977914214,Ornithine alkaloids,0.337069064,Pyrrolidine alkaloids,0.189726561,Imidazoles,0.63338685,NA,NA,Imidazoles,0.63338685,Azoles,0.670814276,Organoheterocyclic compounds,0.995676816,Organic compounds; Organoheterocyclic compounds; Imidazoles; Organonitrogen compounds; Azoles; Trialkylamines; Amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities
FT_1.091_269.97637,no name,C6 H9 N O5 P2 S,L3.3,yes,C6H9NO5P2S,[M + H]+,C6H9NO5P2S,Alkaloids,0.30437997,Nicotinic acid alkaloids,0.475229204,Pyridine alkaloids,0.393362731,Heteroaromatic compounds,0.891592622,NA,NA,NA,NA,Heteroaromatic compounds,0.891592622,Organoheterocyclic compounds,0.951454699,Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Organothiophosphorus compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_1.096_191.99907,no name,C5 H7 N O3 P2,L3.3,yes,C5H7NO3P2,[M + H]+,C5H7NO3P2,Shikimates and Phenylpropanoids,0.649629176,Small peptides,0.445331126,Aminoacids,0.16502662,Primary amines,0.59387213,Primary amines,0.59387213,Amines,0.476454794,Organonitrogen compounds,0.980865479,Organic nitrogen compounds,0.996580422,Organic compounds; Organonitrogen compounds; Organophosphorus compounds; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_1.098_274.93181,no name,C5 H9 N O2 P S4,L3.3,yes,C5H9NO2PS4,[M + H]+,C5H9NO2PS4,Fatty acids,0.205694854,Small peptides,0.382964015,Aminoacids,0.362965107,"1,3-dithiolanes",0.748313129,NA,NA,"1,3-dithiolanes",0.748313129,Dithiolanes,0.555386841,Organoheterocyclic compounds,0.996438026,"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dithiolanes; Organothiophosphorus compounds; Carbonyl compounds; 1,3-dithiolanes; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
FT_1.176_198.09727,no name,C6 H15 N O6,L3.2,yes,C6H15NO6,[M + H]+,C6H15NO6,Carbohydrates,0.98160857,Aminosugars and aminoglycosides,0.998981893,Aminosugars,0.99966383,Hexoses,0.937321424,Monosaccharides,0.998331487,Carbohydrates and carbohydrate conjugates,0.99926275,Organooxygen compounds,1,Organic oxygen compounds,1,"Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Hexoses; Monosaccharides; Secondary alcohols; 1,3-aminoalcohols; 1,2-aminoalcohols; Polyols; Amines; Primary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
FT_1.180_342.13304,no name,C12 H24 N O8 P,L3.3,yes,C12H24NO8P,[M + H]+,C12H24NO8P,Fatty acids,0.891569197,Glycerophospholipids,0.993962824,Glycerophosphocholines,0.364845335,1-acyl-sn-glycero-3-phosphocholines,0.57600826,Lysophosphatidylcholines,0.399409682,Glycerophosphocholines,0.823078096,Glycerophospholipids,0.996632874,Lipids and lipid-like molecules,0.997199655,Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Phosphocholines; 1-acyl-sn-glycero-3-phosphocholines; Secondary alcohols; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
