FeatureID,Name,Formula,Annotation_level,use_Sirius_class,kingdom,superclass,class,subclass,level 5,CID,Title_PubChem,ExactMass,MolecularFormula,InChI,InChIKey,CanonicalSMILES
FT_1.124_522.20317,D-Melezitose,C18 H32 O16,L1,NA,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides,91696349,D-Melezitose,504.1690349,C18H32O16,"InChI=1S/C18H32O16/c19-1-5-8(23)11(26)13(28)16(30-5)32-15-10(25)7(3-21)33-18(15,4-22)34-17-14(29)12(27)9(24)6(2-20)31-17/h5-17,19-29H,1-4H2/t5?,6-,7?,8?,9-,10?,11?,12+,13?,14-,15?,16?,17-,18?/m1/s1",QWIZNVHXZXRPDR-XKBLGDCDSA-N,C(C1C(C(C(C(O1)OC2C(C(OC2(CO)OC3C(C(C(C(O3)CO)O)O)O)CO)O)O)O)O)O
FT_1.135_120.06548,D-Threonine,C4 H9 N O3,L1,NA,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,69435,D-threonine,119.0582431,C4H9NO3,"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m0/s1",AYFVYJQAPQTCCC-STHAYSLISA-N,CC(C(C(=O)O)N)O
FT_1.141_162.11250,L-Carnitine,C7 H15 N O3,L1,NA,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Carnitines,10917,Levocarnitine,161.1051933,C7H15NO3,"InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m1/s1",PHIQHXFUZVPYII-ZCFIWIBFSA-N,C[N+](C)(C)CC(CC(=O)[O-])O
FT_1.157_148.06046,D-Glutamic acid,C5 H9 N O4,L1,NA,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,23327,D-glutamic acid,147.0531578,C5H9NO4,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m1/s1",WHUUTDBJXJRKMK-GSVOUGTGSA-N,C(CC(=O)O)C(C(=O)O)N
FT_1.183_176.10298,L-Citrulline,C6 H13 N3 O3,L1,NA,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,9750,Citrulline,175.0956913,C6H13N3O3,"InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1",RHGKLRLOHDJJDR-BYPYZUCNSA-N,C(CC(C(=O)O)N)CNC(=O)N
FT_1.188_132.06551,cis-4-Hydroxy-D-proline,C5 H9 N O3,L1,NA,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,440014,cis-4-Hydroxy-D-proline,131.0582431,C5H9NO3,"InChI=1S/C5H9NO3/c7-3-1-4(5(8)9)6-2-3/h3-4,6-7H,1-2H2,(H,8,9)/t3-,4-/m1/s1",PMMYEEVYMWASQN-QWWZWVQMSA-N,C1C(CNC1C(=O)O)O
FT_1.189_104.10691,Choline,C5 H13 N O,L1,NA,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Cholines,305,Choline,104.1075391,C5H14NO+,"InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1",OEYIOHPDSNJKLS-UHFFFAOYSA-N,C[N+](C)(C)CCO
FT_1.200_118.08621,Betaine,C5 H11 N O2,L1,NA,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,247,Betaine,117.0789786,C5H11NO2,"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3",KWIUHFFTVRNATP-UHFFFAOYSA-N,C[N+](C)(C)CC(=O)[O-]
FT_1.262_222.09723,N-Acetyl-D-galactosamine,C8 H15 N O6,L1,NA,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Aminosaccharides,35717,N-Acetyl-D-Galactosamine,221.0899372,C8H15NO6,"InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6+,7-,8?/m1/s1",OVRNDRQMDRJTHS-KEWYIRBNSA-N,CC(=O)NC1C(C(C(OC1O)CO)O)O
FT_1.271_146.11757,Acetylcholine,C7 H16 N O2,L1,NA,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Cholines,187,Acetylcholine,146.1181038,C7H16NO2+,"InChI=1S/C7H16NO2/c1-7(9)10-6-5-8(2,3)4/h5-6H2,1-4H3/q+1",OIPILFWXSMYKGL-UHFFFAOYSA-N,CC(=O)OCC[N+](C)(C)C
FT_1.310_360.15014,D-(+)-Cellobiose,C12 H22 O11,L1,NA,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,439178,D-(+)-Cellobiose,342.1162115,C12H22O11,"InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8-,9-,10-,11?,12+/m1/s1",GUBGYTABKSRVRQ-CUHNMECISA-N,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
FT_1.311_191.10270,"2,6-Diaminopimelic Acid",C7 H14 N2 O4,L1,NA,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,865,"2,6-Diaminopimelic acid",190.0953569,C7H14N2O4,"InChI=1S/C7H14N2O4/c8-4(6(10)11)2-1-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)",GMKMEZVLHJARHF-UHFFFAOYSA-N,C(CC(C(=O)O)N)CC(C(=O)O)N
FT_1.312_365.10543,Sucrose,C12 H22 O11,L1,NA,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,5988,Sucrose,342.1162115,C12H22O11,"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1",CZMRCDWAGMRECN-UGDNZRGBSA-N,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O
FT_1.323_138.05494,Trigonelline,C7 H7 N O2,L1,NA,Organic compounds,Alkaloids and derivatives,NA,NA,NA,5570,Trigonelline,137.0476785,C7H7NO2,"InChI=1S/C7H7NO2/c1-8-4-2-3-6(5-8)7(9)10/h2-5H,1H3",WWNNZCOKKKDOPX-UHFFFAOYSA-N,C[N+]1=CC=CC(=C1)C(=O)[O-]
FT_1.323_522.20307,D-(+)-Raffinose,C18 H32 O16,L1,NA,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides,439242,Raffinose,504.1690349,C18H32O16,"InChI=1S/C18H32O16/c19-1-5-8(22)11(25)13(27)16(31-5)30-3-7-9(23)12(26)14(28)17(32-7)34-18(4-21)15(29)10(24)6(2-20)33-18/h5-17,19-29H,1-4H2/t5-,6-,7-,8+,9-,10-,11+,12+,13-,14-,15+,16+,17-,18+/m1/s1",MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)O
FT_1.328_116.07056,L-Proline,C5 H9 N O2,L1,NA,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,145742,Proline,115.0633285,C5H9NO2,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",ONIBWKKTOPOVIA-BYPYZUCNSA-N,C1CC(NC1)C(=O)O
FT_1.354_222.09721,N-Acetyl-D-galactosamine,C8 H15 N O6,L1,NA,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Aminosaccharides,35717,N-Acetyl-D-Galactosamine,221.0899372,C8H15NO6,"InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6+,7-,8?/m1/s1",OVRNDRQMDRJTHS-KEWYIRBNSA-N,CC(=O)NC1C(C(C(OC1O)CO)O)O
FT_1.125_423.08999,"5-hydroxy-6,8-dimethoxy-7-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-2H-chromen-2-one",C17 H20 O11,L2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FT_1.412_522.20299,Maltotriose,C18 H32 O16,L1,NA,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides,192826,alpha-Maltotriose,504.1690349,C18H32O16,"InChI=1S/C18H32O16/c19-1-4-7(22)8(23)12(27)17(31-4)34-15-6(3-21)32-18(13(28)10(15)25)33-14-5(2-20)30-16(29)11(26)9(14)24/h4-29H,1-3H2/t4-,5-,6-,7-,8+,9-,10-,11-,12-,13-,14-,15-,16+,17-,18-/m1/s1",FYGDTMLNYKFZSV-PXXRMHSHSA-N,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O
FT_1.413_522.20300,D-(+)-Raffinose,C18 H32 O16,L1,NA,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides,439242,Raffinose,504.1690349,C18H32O16,"InChI=1S/C18H32O16/c19-1-5-8(22)11(25)13(27)16(31-5)30-3-7-9(23)12(26)14(28)17(32-7)34-18(4-21)15(29)10(24)6(2-20)33-18/h5-17,19-29H,1-4H2/t5-,6-,7-,8+,9-,10-,11+,12+,13-,14-,15+,16+,17-,18+/m1/s1",MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)O
FT_1.427_365.10546,D-(+)-Turanose,C12 H22 O11,L1,NA,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,54301978,D-(+)-Turanose,342.1162115,C12H22O11,"InChI=1S/C12H22O11/c13-1-5-7(17)8(18)9(19)11(22-5)23-10-6(16)4(15)2-21-12(10,20)3-14/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12?/m1/s1",SEWFWJUQVJHATO-PUVWEJBASA-N,C1C(C(C(C(O1)(CO)O)OC2C(C(C(C(O2)CO)O)O)O)O)O
FT_1.431_365.10548,Sucrose,C12 H22 O11,L1,NA,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,5988,Sucrose,342.1162115,C12H22O11,"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1",CZMRCDWAGMRECN-UGDNZRGBSA-N,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O
FT_1.774_118.08621,D-Valine,C5 H11 N O2,L1,NA,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,71563,D-Valine,117.0789786,C5H11NO2,"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m1/s1",KZSNJWFQEVHDMF-SCSAIBSYSA-N,CC(C)C(C(=O)O)N
FT_1.892_146.09241,4-Guanidinobutyric acid,C5 H11 N3 O2,L1,NA,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,500,4-Guanidinobutyric acid,145.0851266,C5H11N3O2,"InChI=1S/C5H11N3O2/c6-5(7)8-3-1-2-4(9)10/h1-3H2,(H,9,10)(H4,6,7,8)",TUHVEAJXIMEOSA-UHFFFAOYSA-N,C(CC(=O)O)CN=C(N)N
FT_1.972_136.06176,Adenine,C5 H5 N5,L1,NA,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,6-aminopurines,190,Adenine,135.0544952,C5H5N5,"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)",GFFGJBXGBJISGV-UHFFFAOYSA-N,C1=NC2=NC=NC(=C2N1)N
FT_1.973_244.09277,Cytidine,C9 H13 N3 O5,L1,NA,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,NA,NA,6175,Cytidine,243.0855205,C9H13N3O5,"InChI=1S/C9H13N3O5/c10-5-1-2-12(9(16)11-5)8-7(15)6(14)4(3-13)17-8/h1-2,4,6-8,13-15H,3H2,(H2,10,11,16)/t4-,6-,7-,8-/m1/s1",UHDGCWIWMRVCDJ-XVFCMESISA-N,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O
FT_11.965_225.07577,Sinapic acid,C11 H12 O5,L1,NA,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,637775,Sinapinic acid,224.0684735,C11H12O5,"InChI=1S/C11H12O5/c1-15-8-5-7(3-4-10(12)13)6-9(16-2)11(8)14/h3-6,14H,1-2H3,(H,12,13)/b4-3+",PCMORTLOPMLEFB-ONEGZZNKSA-N,COC1=CC(=CC(=C1O)OC)C=CC(=O)O
FT_16.500_347.22172,Corticosterone,C21 H30 O4,L1,NA,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,21-hydroxysteroids,5753,Corticosterone,346.2144094,C21H30O4,"InChI=1S/C21H30O4/c1-20-8-7-13(23)9-12(20)3-4-14-15-5-6-16(18(25)11-22)21(15,2)10-17(24)19(14)20/h9,14-17,19,22,24H,3-8,10-11H2,1-2H3/t14-,15-,16+,17-,19+,20-,21-/m0/s1",OMFXVFTZEKFJBZ-HJTSIMOOSA-N,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O
FT_2.047_204.12298,O-Acetyl-L-carnitine,C9 H17 N O4,L1,NA,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Acyl carnitines,7045767,Acetyl-L-Carnitine,203.115758,C9H17NO4,"InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/t8-/m1/s1",RDHQFKQIGNGIED-MRVPVSSYSA-N,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
FT_2.188_150.05834,L-Methionine,C5 H11 N O2 S,L1,NA,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,6137,Methionine,149.0510498,C5H11NO2S,"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1",FFEARJCKVFRZRR-BYPYZUCNSA-N,CSCCC(C(=O)O)N
FT_2.253_139.05020,trans-Urocanic Acid,C6 H6 N2 O2,L1,NA,Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles,Substituted imidazoles,736715,Urocanic acid,138.0429274,C6H6N2O2,"InChI=1S/C6H6N2O2/c9-6(10)2-1-5-3-7-4-8-5/h1-4H,(H,7,8)(H,9,10)/b2-1+",LOIYMIARKYCTBW-OWOJBTEDSA-N,C1=C(NC=N1)C=CC(=O)O
FT_2.389_124.03927,Nicotinic acid,C6 H5 N O2,L1,NA,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Pyridinecarboxylic acids,938,Nicotinic acid,123.0320284,C6H5NO2,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",PVNIIMVLHYAWGP-UHFFFAOYSA-N,C1=CC(=CN=C1)C(=O)O
FT_2.989_159.02775,Hypoxanthine,C5 H4 N4 O,L1,NA,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Purinones,135398638,Hypoxanthine,136.0385108,C5H4N4O,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",FDGQSTZJBFJUBT-UHFFFAOYSA-N,C1=NC2=C(N1)C(=O)NC=N2
FT_3.008_130.04984,L-Pyroglutamic acid,C5 H7 N O3,L1,NA,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,7405,L-Pyroglutamic acid,129.0425931,C5H7NO3,"InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)/t3-/m0/s1",ODHCTXKNWHHXJC-VKHMYHEASA-N,C1CC(=O)NC1C(=O)O
FT_3.668_182.08119,L-Tyrosine,C9 H11 N O3,L1,NA,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,6057,Tyrosine,181.0738932,C9H11NO3,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",OUYCCCASQSFEME-QMMMGPOBSA-N,C1=CC(=CC=C1CC(C(=O)O)N)O
FT_3.874_132.10187,D-Leucine,C6 H13 N O2,L1,NA,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,439524,D-Leucine,131.0946287,C6H13NO2,"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m1/s1",ROHFNLRQFUQHCH-RXMQYKEDSA-N,CC(C)CC(C(=O)O)N
FT_6.003_268.10405,Adenosine,C10 H13 N5 O4,L1,NA,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,NA,NA,60961,Adenosine,267.0967539,C10H13N5O4,"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1",OIRDTQYFTABQOQ-KQYNXXCUSA-N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
FT_6.199_252.10911,2'-Deoxyadenosine,C10 H13 N5 O3,L1,NA,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 2'-deoxyribonucleosides,NA,13730,2'-Deoxyadenosine,251.1018393,C10H13N5O3,"InChI=1S/C10H13N5O3/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(17)6(2-16)18-7/h3-7,16-17H,1-2H2,(H2,11,12,13)/t5-,6+,7+/m0/s1",OLXZPDWKRNYJJZ-RRKCRQDMSA-N,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)O
FT_6.246_284.09896,Guanosine,C10 H13 N5 O5,L1,NA,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,NA,NA,135398635,Guanosine,283.0916685,C10H13N5O5,"InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)/t3-,5-,6-,9-/m1/s1",NYHBQMYGNKIUIF-UUOKFMHZSA-N,C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(NC2=O)N
FT_6.845_166.08628,D-Phenylalanine,C9 H11 N O2,L1,NA,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,71567,D-Phenylalanine,165.0789786,C9H11NO2,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m1/s1",COLNVLDHVKWLRT-MRVPVSSYSA-N,C1=CC=C(C=C1)CC(C(=O)O)N
FT_7.909_220.11801,D-Pantothenate,C9 H17 N O5,L1,NA,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,6997253,d-Pantothenate,218.1028476,C9H16NO5-,"InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)/p-1/t7-/m1/s1",GHOKWGTUZJEAQD-SSDOTTSWSA-M,CC(C)(CO)C(C(=O)NCCC(=O)[O-])O
FT_8.403_205.09712,L-Tryptophan,C11 H12 N2 O2,L1,NA,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,NA,6305,Tryptophan,204.0898776,C11H12N2O2,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1",QIVBCDIJIAJPQS-VIFPVBQESA-N,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
FT_0.985_380.09553,Toxin B1,C10H17N7O7S,L2.3,NA,Organic compounds,Phenylpropanoids and polyketides,"Saxitoxins, gonyautoxins, and derivatives",NA,NA,14917387,Toxin B1,379.0910171,C10H17N7O7S,"InChI=1S/C10H17N7O7S/c11-6-14-5-4(3-24-8(18)16-25(21,22)23)13-7(12)17-2-1-9(19,20)10(5,17)15-6/h4-5,19-20H,1-3H2,(H2,12,13)(H,16,18)(H3,11,14,15)(H,21,22,23)",JKKCSFJSULZNDN-UHFFFAOYSA-N,C1CN2C(=NC(C3C2(C1(O)O)NC(=N3)N)COC(=O)NS(=O)(=O)O)N
