query,ko,name
Inosine,cpd:C00294,Inosine
"(1Z,5Z)-1,5,10-trimethyl-8-propan-2-ylidenecyclodeca-1,5-diene",NA,NA
N-Acetyl-D-mannosamine,cpd:C00645,N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose
"(2,2,3-Trimethyl-4-oxocyclopentyl)acetic acid",NA,NA
Mannitol,cpd:C00392,Mannitol; D-Mannitol
"(2,6-Dihydroxy-4-methoxyphenyl)-(2,4-dihydroxy-6-methylphenyl)methanone",NA,NA
"(2-{(1R,9S)-3-[4-(Methylsulfanyl)phenyl]-6-oxo-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-11-yl}-2-oxoethoxy)acetic acid",NA,NA
"(2-Amino-6-oxo-3,6-dihydro-9H-purin-9-yl)acetic acid",NA,NA
"(2E)-5-[(8aS)-2,5,5,8a-tetramethyl-3-oxo-3,4,4a,5,6,7,8,8a-octahydronaphthalen-1-yl]-3-methylpent-2-enoic acid",NA,NA
"(2E)-7-methyl-6-(2-oxopropoxy)-2-[(3,4,5-trimethoxyphenyl)methylidene]-1-benzofuran-3-one",NA,NA
"(2E,6E)-5-hydroxy-7-phenylhepta-2,6-dienoic acid",NA,NA
"(2R,3R,4R,5R)-5-[[(2S,3R,4R,5R)-3,4-dihydroxy-5-[[(2S,3R,4R,5R)-3,4,5-trihydroxyoxolan-2-yl]methoxy]oxolan-2-yl]methoxy]-3,4-dihydroxyoxolane-2-carbaldehyde",NA,NA
"(2R,5R,6R)-3-[(1E,3E)-hepta-1,3-dien-1-yl]-5,6-dihydroxy-2-(hydroxymethyl)cyclohexan-1-one",NA,NA
"(2S)-2-(2-hydroxypropan-2-yl)-2H,3H,7H-furo[3,2-g]chromen-7-one",NA,NA
(2S)-2-(3-carboxypropanamido)-6-oxoheptanedioic acid,NA,NA
16-Hydroxyhexadecanoic acid,cpd:C18218,16-Hydroxypalmitate; 16-Hydroxypalmitic acid; 16-Hydroxyhexadecanoic acid; Juniperic acid
(2S)-2-(4-methyl-2-oxochromen-7-yl)oxypropanoate,NA,NA
(2S)-2-amino-6-[[(2S)-2-aminopropanoyl]amino]hexanoic acid,NA,NA
"(2S)-5,7-dimethoxy-8-(3-methylbuta-1,3-dienyl)-2-phenyl-2,3-dihydrochromen-4-one",NA,NA
(2S)-6-(ethylamino)-2-[(2-methylpropan-2-yl)oxycarbonylamino]hexanoic acid,NA,NA
"(2S)-6-(Gamma,Gamma-Dimethylallyl)-5-Hydroxy-3',4'-Dimethoxy-6'',6''-Dimethylpyran(2'',3'':7,8)Flavanone",NA,NA
"(2S)-7-hydroxy-8-(2-hydroxyethyl)-5-methoxy-2-methyl-2,3-dihydrochromen-4-one",NA,NA
"(2S,3R,4S,5S,6R)-2-[4-hydroxy-2-(3-methylbut-2-en-1-yl)phenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",NA,NA
"(2S,3R,4S,5S,6R)-2-{[(2R,3R,4S,5S,6R)-4,5-dihydroxy-2-[(3-hydroxy-6-methylheptyl)oxy]-6-(hydroxymethyl)oxan-3-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol",NA,NA
melitose,cpd:C00492,Raffinose; Melitose; Melitriose; Gossypose; 6G-alpha-D-galactosylsucrose
"(2S,4S)-4-amino-2-hydroxy-2-methylpentanedioic acid",NA,NA
"(2S,6S)-2,6-diaminoheptanedioic acid",NA,NA
"(2S,8R)-2-amino-8-hydroxydecanoic acid",NA,NA
"(2Z,3E)-2,3-bis[(3,4-dimethoxyphenyl)methylidene]butanedioic acid",NA,NA
"(3,4,5,6,7-Pentahydroxy-2-oxoheptyl) dihydrogen phosphate",NA,NA
"(3,6,9,9a-tetramethyl-2,7-dioxo-3a,4,5,9b-tetrahydro-3H-azuleno[4,5-b]furan-4-yl) acetate",NA,NA
"(3aR,4aS,5R,8S,9aR)-5-hydroxy-4a,8-dimethyl-3-methylidene-2H,3H,3aH,4H,4aH,5H,6H,8H,9H,9aH-azuleno[6,5-b]furan-2,6-dione",NA,NA
4-Methylumbelliferone,cpd:C03081,4-Methylumbelliferone; Hymecromone
"(3aR,4R,11aR)-4-hydroxy-10-(hydroxymethyl)-3-methylidene-2-oxo-2H,3H,3aH,4H,5H,8H,9H,11aH-cyclodeca[b]furan-6-carbaldehyde",NA,NA
"(3aR,5aR,9bR)-3a-hydroxy-5a,9-dimethyl-3-methylidene-2H,3H,3aH,4H,5H,5aH,6H,7H,8H,9bH-naphtho[1,2-b]furan-2-one",NA,NA
"(3aS,5aS,9bR)-5a,9-dimethyl-3-methylidene-2H,3H,3aH,4H,5H,5aH,6H,7H,8H,9bH-naphtho[1,2-b]furan-2,5-dione",NA,NA
"(3R,4S)-4,6,8-Trihydroxy-7-methoxy-3-methyl-3,4-dihydro-1H-isochromen-1-one",NA,NA
urocanate,cpd:C00785,Urocanate; Urocanic acid
"(3R,4S)-6,8-Dihydroxy-3,4,5-trimethyl-1-oxo-3,4-dihydro-1H-isochromene-7-carboxylic acid",NA,NA
"(3S)-2-hydroxy-2,3-dimethylbutanedioic acid",NA,NA
"(3S,4S)-3,4,8-trihydroxy-6-methoxy-7-(1-methoxyethyl)-3,4-dihydro-2H-naphthalen-1-one",NA,NA
"(3S,4S)-3,4,8-trihydroxy-7-(1-hydroxyethyl)-6-methoxy-3,4-dihydro-2H-naphthalen-1-one",NA,NA
Azelaic acid,cpd:C08261,"Azelaic acid; Nonanedioic acid; 1,7-Heptanedicarboxylic acid"
"(4aS,10aR,11bR)-4,4,8,11b-tetramethyl-1,2,3,4a,5,7,10a,11-octahydronaphtho[2,1-f][1]benzofuran-6,9-dione",NA,NA
"(4R,5R)-4,5-dihydroxy-3-methoxy-5-methyl-cyclohex-2-en-1-one",NA,NA
Genipin,cpd:C09780,Genipin
(5-methyl-3-isoxazolyl)[4-(5-propyl-2-pyrimidinyl)piperazino]methanone,NA,NA
Glycitein,cpd:C14536,"Glycitein; 7,4'-Dihydroxy-6-methoxyisoflavone"
Guanosine,cpd:C00387,Guanosine
"(5R,8S,9S,10S,14R)-17-acetyl-4,4,8,10,14-pentamethyl-2,5,6,7,9,15-hexahydro-1H-cyclopenta[a]phenanthrene-3,16-dione",NA,NA
"(6e,8s,10e,14r)-3,7,11,15-Tetramethylhexadeca-1,6,10-triene-3,8,14,15-tetraol",NA,NA
Isoferulic acid,cpd:C10470,Isoferulic acid
"(6R)-2-amino-6-(aminomethyl)-4-oxo-1,2,3,4a,6,7-hexahydropteridine-5-carbaldehyde",NA,NA
"(6S)-6-[(1S,2R)-1,2-dihydroxypentyl]-4-methoxy-5,6-dihydro-2H-pyran-2-one",NA,NA
(7-Methoxy-4-methyl-2-oxo-2h-chromen-3-yl)acetic acid,NA,NA
Mevalonic acid,cpd:C00418,"(R)-Mevalonate; Mevalonic acid; 3,5-Dihydroxy-3-methylvaleric acid; (3R)-3,5-Dihydroxy-3-methylpentanoic acid; (R)-Mevalonic acid"
Mevalonic acid,cpd:C02104,"(S)-Mevalonate; (S)-Mevalonic acid; (S)-3,5-Dihydroxy-3-methylvaleric acid"
"(7R,8R)-8-(3,4-dimethoxyphenyl)-5,7-dihydroxy-2,2-dimethyl-10-(3-methylbut-2-enyl)-7,8-dihydropyrano[3,2-g]chromen-6-one",NA,NA
"(7R,8S)-7,8-Dihydroxy-3,7-dimethyl-6-oxo-7,8-dihydro-6H-isochromene-5-carbaldehyde",NA,NA
"(9aR,9bS)-9a-Hydroxy-6,9-dimethyl-3-methylene-3,3a,4,5,9a,9b-hexahydroazuleno[4,5-b]furan-2,7-dione",NA,NA
(±)9-HpODE,NA,NA
(±)-Abscisic acid,NA,NA
"(E)-1-(5,7-dihydroxy-2,2-dimethylchromen-6-yl)-3-(4-hydroxyphenyl)prop-2-en-1-one",NA,NA
"(E)-3-[3-[(2E)-3,7-dimethylocta-2,6-dienyl]-4,5-dimethoxyphenyl]prop-2-enoic acid",NA,NA
(E)-4-(4-Methylcyclohex-3-en-1-yl)pent-3-en-2-one,NA,NA
"(ent-6alpha,7alpha,16alphaH)-6,7,17-Trihydroxy-19-kauranoic acid",NA,NA
(R)-rosmarinate,NA,NA
"(S)-2,3-Dihydro-6-hydroxy-5-(hydroxyacetyl)-2-isopropenylbenzofuran",NA,NA
"(Z)-3-[4,5-dihydroxy-2-(2-hydroxypropan-2-yl)-2,3-dihydro-1-benzofuran-7-yl]prop-2-enoic acid",NA,NA
(Z)-Mycophenolic Acid,NA,NA
"[(2R,2aS,7R,7aS,7bR)-2,2a,7-trihydroxy-6,6,7b-trimethyl-1,2,4a,5,7,7a-hexahydrocyclobuta[e]inden-3-yl]methyl 2-hydroxy-4-methoxy-6-methylbenzoate",NA,NA
"[(2R,3R,4aR,7S,8R,8aR)-7'-formyl-3,4'-dihydroxy-6'-(hydroxymethyl)-4,4,7,8a-tetramethylspiro[2,3,4a,5,6,7-hexahydro-1H-naphthalene-8,2'-3H-1-benzofuran]-2-yl] acetate",NA,NA
"[(2S,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)-2-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxolan-2-yl]methyl hydrogen sulfate",NA,NA
"[(3aS,4R,5R,6S,6aR,8R,9bS)-5,6,8-trihydroxy-6,9-dimethyl-3-methylidene-2-oxo-4,5,6a,7,8,9b-hexahydro-3aH-azuleno[4,5-b]furan-4-yl] acetate",NA,NA
"[(E)-3-(3,4-dimethoxyphenyl)prop-2-enyl] (Z)-2-methylbut-2-enoate",NA,NA
"[1,1'-Biphenyl]-2,3',4-triol",NA,NA
Propyl gallate,cpd:C11155,n-Propyl gallate; Propyl gallate
[2-(Carboxymethyl)-2-hydroxyhexyl]-trimethylazanium,NA,NA
Tetracycline,cpd:C06570,Tetracycline
Trinexapac,cpd:C18541,Trinexapac-ethyl
coniferaldehyde,cpd:C02666,Coniferyl aldehyde; Coniferaldehyde; 4-Hydroxy-3-methoxycinnamaldehyde; Ferulaldehyde
[2-[3-(2-Acetyloxyacetyl)phenyl]-2-oxoethyl] acetate,NA,NA
"[3,3,7,9-Tetramethyl-6-(2-methylbut-2-enoyloxy)-11-oxo-4-tricyclo[5.4.0.02,8]undec-9-enyl] 2-methylbut-2-enoate",NA,NA
"[3-Acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl] (3,4,5,6-tetrahydroxyoxan-2-yl)methyl hydrogen phosphate",NA,NA
"[4-[(2R,3S)-4-(4-acetyloxy-3-methoxyphenyl)-2,3-dimethylbutyl]-2-methoxyphenyl] acetate",NA,NA
"1-(2,2-Dimethylchromen-6-yl)ethanone",NA,NA
"1-(2,3,4,6-tetramethoxyphenyl)pent-2-en-1-one",NA,NA
"1-(2,3-Dihydroxy-4-methoxyphenyl)ethanone",NA,NA
"1-(2,4,6-Trihydroxyphenyl)-3-(3,4,5-trimethoxyphenyl)-1-propanone",NA,NA
"1-(2,4,6-Trihydroxyphenyl)-3-(3,4,5-trimethoxyphenyl)propan-1-one",NA,NA
"1-(2,4-Dihydroxy-6-methoxyphenyl)but-2-en-1-one",NA,NA
"1-(2,4-dihydroxyphenyl)-2-(3,5-dimethoxyphenyl)propan-1-one",NA,NA
"1-(2,4-Dimethoxyphenyl)butane-1,3-dione",NA,NA
"1-(2-Hydroxy-3,4,6-trimethoxyphenyl)ethanone",NA,NA
"1-(2-Hydroxy-4,6-dimethoxyphenyl)-1,3-butanedione",NA,NA
"1-(2-Hydroxyethyl)-2,2,6,6-tetramethyl-4-hydroxypiperidine",NA,NA
"1-(3-acetyl-2,4,6-trihydroxyphenyl)ethan-1-one",NA,NA
"1-(3-Acetyl-2,4-dihydroxy-6-methoxyphenyl)ethan-1-one",NA,NA
6-Prenylnaringenin,cpd:C09832,"6-Prenylnaringenin; 5,7,4'-Trihydroxy-6-prenylflavanone"
"1-(4-Hydroxy-2-prop-1-en-2-yl-2,3-dihydro-1-benzofuran-5-yl)ethanone",NA,NA
"1-(5-Acetyl-2,4-dihydroxyphenyl)-3-methylbutan-1-one",NA,NA
"1-(5-Acetyl-2,4-dimethoxyphenyl)ethanone",NA,NA
1-(Carboxymethyl)cyclohexanecarboxylic acid,NA,NA
1-(o-Methoxybenzyl)-2-oxocyclohexanepropionic acid,NA,NA
mycophenolate,cpd:C20380,Mycophenolate
dihydroconiferyl alcohol,cpd:C10448,Dihydroconiferyl alcohol; 4-Hydroxy-3-methoxy-benzenepropanol
"1,2,3,4-Tetramethyl-1,3-cyclopentadiene",NA,NA
"1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene",NA,NA
"1,2-Diglycidyl phthalate",NA,NA
"1,2-Dimethyl-1,4-cyclohexadiene",NA,NA
caffeate,cpd:C01197,"Caffeate; Caffeic acid; 3,4-Dihydroxy-trans-cinnamate; trans-Caffeate; (2E)-3-(3,4-Dihydroxyphenyl)prop-2-enoate"
caffeate,cpd:C01481,"Caffeate; Caffeic acid; 3,4-Dihydroxycinnamic acid"
"1,3,6-Octatriene",NA,NA
"1,3,8-trihydroxy-6-methyl-anthracene-9,10-dione",NA,NA
"1,3-Benzenedicarboxaldehyde, 4,6-dihydroxy-",NA,NA
"1,3-Diacetyl-4,6-dimethoxybenzene",NA,NA
"1,3-Dihydroxy-6-methoxy-8-methyl-9-xanthenone",NA,NA
"1,4,9-Cadinatriene",NA,NA
"1,4a,7-Trimethyl-2,3,4,4b,5,6,7,9,10,10a-decahydrophenanthrene-1-carboxylic acid",NA,NA
"1,4-dihydroxy-1,4-dimethyl-7-(propan-2-ylidene)-decahydroazulen-6-one",NA,NA
adenosine,cpd:C00212,Adenosine
"1,4-Dimethyl-2,3,5-triacetoxybenzene",NA,NA
"1,4-Naphthalenedione, 2,3,6-trimethyl-",NA,NA
"1,5,8-Trihydroxy-9-oxo-9H-xanthen-3-yl beta-D-glucopyranoside",NA,NA
"1-[(1R)-1-(hydroxymethyl)-7-methoxy-9-methyl-1'-(pyridin-4-ylmethyl)-2-spiro[1,3-dihydropyrido[3,4-b]indole-4,4'-piperidine]yl]-2-(4-morpholinyl)ethanone",NA,NA
"1-[(4aR)-4a,8-dimethyl-4,5,6,7-tetrahydro-3H-naphthalen-2-yl]ethanone",NA,NA
"1-[3-Hydroxy-2-(2-hydroxy-2-propanyl)-2,3-dihydro-1-benzofuran-5-yl]ethanone",NA,NA
1-[Hydroxy-(2-hydroxy-3-methoxypropoxy)phosphoryl]oxyethyl-trimethylazanium,NA,NA
10-(4-Sulfophenyl) decanoic acid,NA,NA
10-HDA,NA,NA
12(13)-DiHOME,NA,NA
"13-hydroxy-15-methoxy-3-methyl-3,4,5,6,9,10-hexahydro-1H-benzo(c)(1)oxacyclododecine-1,7(8H)-dione",NA,NA
"14,16,20-Trihydroxy-2,5-dimethyl-8-propan-2-yl-18,22-dioxahexacyclo[17.2.1.02,10.05,9.013,21.016,20]docosa-8,13-dien-15-one",NA,NA
15-Acetyl-4-deoxynivalenol,NA,NA
"17beta-Hydroxyandrost-4-ene-3,11-dione propionate",NA,NA
2-sulfotrehalose,cpd:C20985,"2-Sulfotrehalose; 2-O-Sulfo-alpha,alpha-trehalose"
19(R)-Hydroxy prostaglandin A2,NA,NA
1-Acetoxy-2-methylnaphthalene,NA,NA
"1-Allyl-3-[(2S,11aS)-5,11-dioxo-2,3,5,10,11,11a-hexahydro-1H-pyrrolo[2,1-c][1,4]benzodiazepin-2-yl]urea",NA,NA
"1-Allyl-3-[(6aS,8S)-6,12-dioxo-2-(3-thienyl)-5,6,6a,7,8,9,10,12-octahydropyrido[2,1-c][1,4]benzodiazepin-8-yl]urea",NA,NA
"1-ethyl-4b,8,8-trimethyl-10-oxo-6,7,8a,9-tetrahydro-5H-phenanthrene-2-carboxylic acid",NA,NA
1-Guanidino-2-(4-imidazole)propionic acid,NA,NA
3-O-methylgallate,cpd:C05616,"3-O-Methylgallate; 3-O-Methylgallic acid; 5-Hydroxyvanillic acid; 3,4-Dihydroxy-5-methoxybenzoate"
"1H-2-Benzopyran-1-one, 6,7,8-trimethoxy-3-methyl-",NA,NA
D-Arginine,cpd:C00792,D-Arginine; D-2-Amino-5-guanidinovaleric acid
Choline,cpd:C00114,Choline; Bilineurine
D-Serine,cpd:C00740,D-Serine
D-Asparagine,cpd:C01905,D-Asparagine
D-Aspartic acid,cpd:C00402,D-Aspartate; D-Aspartic acid
Sarcosine,cpd:C00213,Sarcosine; N-Methylglycine
γ-Aminobutyric acid,cpd:C00334,4-Aminobutanoate; 4-Aminobutanoic acid; 4-Aminobutyrate; 4-Aminobutyric acid; gamma-Aminobutyric acid; GABA
L-Glutamine,cpd:C00064,L-Glutamine; L-2-Aminoglutaramic acid
1-Isopropyl-4-methylenebicyclo[3.1.0]hex-2-ene,NA,NA
D-Threonine,cpd:C00820,D-Threonine; D-2-Amino-3-hydroxybutyric acid
L-Carnitine,cpd:C00318,"L-Carnitine; L-gamma-Trimethyl-beta-hydroxybutyrobetaine; Vitamin BT; 3-Carboxy-2-hydroxy-N,N,N-trimethyl-1-propanaminium hydroxide, inner salt; Levocarnitine; (R)-Carnitine"
L-Citrulline,cpd:C00327,L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline
cis-4-Hydroxy-D-proline,cpd:C03440,cis-4-Hydroxy-D-proline
Betaine,cpd:C00318,"L-Carnitine; L-gamma-Trimethyl-beta-hydroxybutyrobetaine; Vitamin BT; 3-Carboxy-2-hydroxy-N,N,N-trimethyl-1-propanaminium hydroxide, inner salt; Levocarnitine; (R)-Carnitine"
Betaine,cpd:C00487,Carnitine; gamma-Trimethyl-hydroxybutyrobetaine; 3-Hydroxy-4-trimethylammoniobutanoate
Betaine,cpd:C00576,Betaine aldehyde
Betaine,cpd:C00719,"Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate"
N-Acetyl-D-galactosamine,cpd:C01132,N-Acetyl-D-galactosamine; N-Acetyl-D-chondrosamine; 2-Acetamido-2-deoxy-D-galactose
Acetylcholine,cpd:C01996,Acetylcholine; O-Acetylcholine
"1-Methylestra-1,3,5(10),6-tetraene-3,17beta-diol",NA,NA
"2-(1,3-dimethyl-2,6-dioxopurin-7-yl)-N-[(4-sulfamoylphenyl)methyl]acetamide",NA,NA
Trigonelline,cpd:C01004,N-Methylnicotinate; Trigonelline; Trigenelline; 1-Methylpyridinio-3-carboxylate; Betaine nicotinate; Caffearin; Gynesine
2-(1-Benzofuran-2-yl)-1-(5-ethyl-2-hydroxy-4-methoxyphenyl)ethanone,NA,NA
L-Proline,cpd:C00148,L-Proline; 2-Pyrrolidinecarboxylic acid
2-(1H-benzo[d]imidazol-2-yl)-3-(4-toluidino)acrylonitrile,NA,NA
Maltotriose,cpd:C01835,Maltotriose; Amylotriose
D-Valine,cpd:C06417,D-Valine; (R)-2-Amino-3-methylbutyric acid
4-Guanidinobutyric acid,cpd:C01035,4-Guanidinobutanoate; 4-Guanidinobutyric acid
Cytidine,cpd:C00475,Cytidine
Sinapic acid,cpd:C00482,"Sinapate; Sinapic acid; 3,5-Dimethoxy-4-hydroxycinnamic acid"
Corticosterone,cpd:C02140,"Corticosterone; 11beta,21-Dihydroxy-4-pregnene-3,20-dione; Kendall's compound B; Reichstein's substance H"
Corticosterone,cpd:C05476,Tetrahydrocorticosterone
O-Acetyl-L-carnitine,cpd:C02571,O-Acetylcarnitine; O-Acetyl-L-carnitine
L-Methionine,cpd:C00073,L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid
"2-(1-naphthylmethylidene)-1,2,3,4-tetrahydronaphthalen-1-one 1-(2,4-dinitrophenyl)hydrazone",NA,NA
Nicotinic acid,cpd:C00253,Nicotinate; Nicotinic acid; Niacin; 3-Pyridinecarboxylic acid
Hypoxanthine,cpd:C00262,Hypoxanthine; Purine-6-ol
Hypoxanthine,cpd:C20451,tRNA hypoxanthine
Hypoxanthine,cpd:C22574,Hypoxanthine in double-stranded RNA
L-Pyroglutamic acid,cpd:C01879,5-Oxoproline; Pidolic acid; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid
L-Tyrosine,cpd:C00082,L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine
D-Leucine,cpd:C01570,D-Leucine; D-2-Amino-4-methylvaleric acid
Adenosine,cpd:C00212,Adenosine
2'-Deoxyadenosine,cpd:C00559,Deoxyadenosine; 2'-Deoxyadenosine
D-Phenylalanine,cpd:C02265,D-Phenylalanine; D-alpha-Amino-beta-phenylpropionic acid
"2-(2-acetyl-3,5-dihydroxyphenyl)acetic acid",NA,NA
L-Tryptophan,cpd:C00078,L-Tryptophan; Tryptophan; (S)-alpha-Amino-beta-(3-indolyl)-propionic acid
Toxin B1,cpd:C20018,Gonyautoxin 5; Gonyautoxin V; GTX5; Toxin B1
Triethanolamine,cpd:C06771,Triethanolamine; Trolamine
Miglitol,cpd:C07708,Miglitol
"2-(3-Butanoyl-2,6-dihydroxy-4-methoxyphenyl)acetic acid",NA,NA
"2(3H)-Furanone, dihydro-4-((4-hydroxy-3-(2-hydroxy-2-(4-hydroxy-3-methoxyphenyl)-1-(hydroxymethyl)ethyl)-5-methoxyphenyl)methyl)-3-((4-hydroxy-3-methoxyphenyl)methyl)-, (3R,4R)-",NA,NA
3-hydroxy-3-methylpentanedioic acid,cpd:C03761,3-Hydroxy-3-methylglutarate; 3-Hydorxy-3-methylglutaric acid; beta-Hydroxy-beta-methylglutaric acid; Dicrotalic acid; 3-Hydroxy-3-methylpentanedioic acid; Meglutol
Dulcitol,cpd:C01697,Galactitol; Dulcitol; Dulcose
2-(3-Quinoxalin-2-ylphenyl)quinoxaline,NA,NA
"2-(4-Hydroxy-3-methylbut-2-en-1-yl)-4-(3-methylbut-2-en-1-yl)benzene-1,3,5-triol",NA,NA
"2-(5-acetyl-6-methoxy-2,3-dihydrobenzofuran-2-yl)allyl acetate",NA,NA
"2-(7,8-dihydroxy-4-methyl-2-oxo-2H-chromen-3-yl)-N-[(2R)-2-hydroxypropyl]acetamide",NA,NA
2-(7-Methoxy-4-methyl-2-oxochromen-3-yl)acetate,NA,NA
2-Aminoadipic acid,cpd:C00956,L-2-Aminoadipate; L-alpha-Aminoadipate; L-alpha-Aminoadipic acid; L-2-Aminoadipic acid; L-2-Aminohexanedioate
"2-(benzotriazol-1-yl)-N-(2,3-dihydro-1H-inden-2-yl)acetamide",NA,NA
2-(Dimethylamino)ethanesulfonic acid,NA,NA
Phloroglucinol,cpd:C02183,"Phloroglucinol; 1,3,5-Benzenetriol; 1,3,5-Trihydroxybenzene; Benzene-1,3,5-triol"
"2,2,6,6-Tetramethyl-4-piperidinol",NA,NA
"2,3,5,7-Tetramethoxynaphthoquinone",NA,NA
"2,3,5-Trimethoxy-6-(1-propenyl)-2,5-cyclohexadiene-1,4-dione",NA,NA
"2,3-Dihydroxy-4-methoxybenzoic acid",NA,NA
Pipecolic acid,cpd:C00408,L-Pipecolate; Pipecolinic acid; Pipecolic acid; 2-Piperidinecarboxylic acid; (S)-Piperidine-2-carboxylic acid
"2,3-Dihydroxypropyl-(2-hydroxyoctyl)-dimethylazanium",NA,NA
Maltotetraose,cpd:C02052,Maltotetraose
"2,4-dihydroxy-3-[(E)-4-hydroxy-3-methyl-5-(1,2,6-trimethyl-3-oxocyclohexyl)pent-2-enyl]-6-methylbenzaldehyde",NA,NA
"2,4-Dihydroxy-6-(4-hydroxy-2-oxopentyl)-3-methylbenzaldehyde",NA,NA
Pyrogallol,cpd:C01108,"1,2,3-Trihydroxybenzene; Pyrogallol; Pyrogallic acid; 1,2,3-Benzenetriol"
"2,5-Cyclohexadien-1-one, 4-hydroxy-2,3,5,6-tetramethyl-",NA,NA
