FeatureID,Name,Formula,Calc. MW,# mzCloud Results,# mzVault Results,Potential_fragment,Other_match_from_CD,Notes,Name_mzvault_red,Mzcloud_Comment,Sirius-name,Sirius_percentage,Final_decision
FT_1.157_148.06046,D-Glutamic acid,C5 H9 N O4,147.05318,1,3,NA,L-Glutamic acid,good,0,0,0,0,L1
FT_1.173_85.02843,1-Aminocyclopropanecarboxylic acid,C4 H7 N O2,84.02113,0,1,NA,0,delete,1-Aminocyclopropanecarboxylic acid,NA,NA,NA,delete
FT_1.183_176.10298,L-Citrulline,C6 H13 N3 O3,175.09571,1,1,NA,0,good,0,0,0,0,L1
FT_1.188_132.06551,cis-4-Hydroxy-D-proline,C5 H9 N O3,131.05823,4,3,NA,L-Hydroxyproline,good,0,0,0,0,L1
FT_1.189_104.10691,Choline,C5 H13 N O,103.09963,1,1,NA,0,good,0,0,0,0,L1
FT_1.200_118.08621,Betaine,C5 H11 N O2,117.07894,3,1,NA,0,good,0,0,0,0,L1
FT_1.224_360.15015,D-(+)-Cellobiose,C12 H22 O11,359.14287,2,7,NA,0,delete,D-Cellobiose,alpha-Lactose,Garamine,54.96,delete
FT_1.262_222.09723,N-Acetyl-D-galactosamine,C8 H15 N O6,221.08994,2,3,NA,N-Acetyl-D-mannosamine,good,0,0,0,0,L1
FT_1.271_146.11757,Acetylcholine,C7 H16 N O2,145.1103,1,1,NA,0,adduct -1Da,Acetylcholine,Acetylcholine,3-Amino-5-methylhexanoic acid,37.84,L1
FT_1.310_360.15014,D-(+)-Cellobiose,C12 H22 O11,359.14287,2,7,NA,0,adduct 17Da,"Cellobiose, Trehalose",alpha-Lactose,NA,22.25,L1
FT_1.311_191.10270,"2,6-Diaminopimelic Acid",C7 H14 N2 O4,190.09542,0,1,NA,0,good,0,0,0,0,L1
FT_1.312_365.10543,Sucrose,C12 H22 O11,364.09815,5,1,NA,0,adduct 22Da,Sucrose,maltose,Maltose,96.18,L1
FT_1.323_138.05494,Trigonelline,C7 H7 N O2,137.04767,8,1,NA,0,good,0,0,0,0,L1
FT_1.323_522.20307,D-(+)-Raffinose,C18 H32 O16,521.19579,1,3,NA,0,adduct 17Da,"D-Raffinose, Maltotriose",D-Raffinose,NA,62,L1
FT_1.328_116.07056,L-Proline,C5 H9 N O2,115.06328,2,2,NA,D-Proline,good,0,0,0,0,L1
FT_1.354_222.09721,N-Acetyl-D-galactosamine,C8 H15 N O6,221.08994,2,3,NA,N-Acetylglucosamine,good,0,0,0,0,L1
FT_1.390_163.06023,D-(+)-Glucosamine,C6 H15 N O5,162.05292,0,1,NA,0,adduct -19 Da,D-Glucosamine,NA,Glucosan,79.39,L1
FT_1.412_522.20299,Maltotriose,C18 H32 O16,521.19571,1,3,NA,0,adduct 17Da,"Maltotriose, D-Raffinose",D-Raffinose,NA,77.19,L1
FT_1.413_522.20300,D-(+)-Raffinose,C18 H32 O16,504.1692,1,3,NA,Maltotriose,good,0,0,0,0,L1
FT_1.420_360.15016,D-(+)-Trehalose,C12 H22 O11,359.14288,5,7,NA,0,delete,"Trehalose, Cellobiose, Turanose",alpha-Lactose,Garamine,55,delete
FT_1.427_365.10546,D-(+)-Turanose,C12 H22 O11,342.11628,1,7,NA,"Palatinose, Lactulose, D-(+)-Trehalose, alpha-D-Lactose",good,0,0,0,0,L1
FT_1.431_365.10548,Sucrose,C12 H22 O11,364.0982,4,1,NA,0,adduct 22Da,Sucrose,D-Maltose,Maltose,99.35,L1
FT_1.499_360.15015,D-(+)-Turanose,C12 H22 O11,359.14287,1,7,NA,0,delete,"D-Turanose, Palatinose",alpha-Lactose,Garamine,56.32,delete
FT_1.500_365.10549,Sucrose,C12 H22 O11,364.09822,4,1,NA,0,delete,Sucrose,D-Maltose,Nigerose,89.76,delete
FT_1.774_118.08621,D-Valine,C5 H11 N O2,117.07893,3,3,NA,"L-Norvaline, L-Valine",good,0,0,0,0,L1
FT_1.892_146.09241,4-Guanidinobutyric acid,C5 H11 N3 O2,145.08513,1,1,NA,0,good,0,0,0,0,L1
FT_1.972_136.06176,Adenine,C5 H5 N5,135.05448,1,1,NA,0,good,0,0,0,0,L1
FT_1.973_244.09277,Cytidine,C9 H13 N3 O5,243.08552,2,1,NA,0,good,0,0,0,0,L1
FT_11.965_225.07577,Sinapic acid,C11 H12 O5,224.06849,3,1,NA,0,good,Sinapic acid,"4,8-dihydroxy-6-methyl-3,4-dihydro-1h-isochromen-1-one, Sinapic acid",NA,87.84,L1
FT_16.500_347.22172,Corticosterone,C21 H30 O4,346.21444,3,1,NA,0,good,0,0,0,0,L1
FT_2.047_204.12298,O-Acetyl-L-carnitine,C9 H17 N O4,203.1157,1,1,NA,0,good,0,0,0,0,L1
FT_2.188_150.05834,L-Methionine,C5 H11 N O2 S,149.05106,2,1,NA,0,good,0,0,0,0,L1
FT_2.253_139.05020,trans-Urocanic Acid,C6 H6 N2 O2,138.04292,6,1,NA,0,good,0,0,match 81.3,0,L1
FT_2.389_124.03927,Nicotinic acid,C6 H5 N O2,123.03199,2,1,NA,0,good,0,0,match 77.3,0,L1
FT_2.989_159.02775,Hypoxanthine,C5 H4 N4 O,136.03852,4,1,NA,0,good,0,0,match 75.9,0,L1
FT_3.008_130.04984,L-Pyroglutamic acid,C5 H7 N O3,129.04257,2,2,NA,D-Pyroglutamic acid,good,0,0,match 87.1,0,L1
FT_3.668_182.08119,L-Tyrosine,C9 H11 N O3,181.07391,2,2,NA,D-Tyrosine,good,0,0,0,0,L1
FT_3.874_132.10187,D-Leucine,C6 H13 N O2,131.0946,4,2,NA,L-Leucine,good,0,0,0,0,L1
FT_6.003_268.10405,Adenosine,C10 H13 N5 O4,267.09677,1,1,NA,0,good,0,0,0,0,L1
FT_6.199_252.10911,2'-Deoxyadenosine,C10 H13 N5 O3,251.10183,2,1,NA,0,good,0,0,0,0,L1
FT_6.246_284.09896,Guanosine,C10 H13 N5 O5,283.09169,0,1,NA,0,good,0,0,0,0,L1
FT_6.845_166.08628,D-Phenylalanine,C9 H11 N O2,165.079,1,2,NA,L-Phenylalanine,good,0,0,0,0,L1
FT_7.909_220.11801,D-Pantothenate,C9 H17 N O5,219.11074,0,1,NA,0,good,0,0,0,0,L1
FT_8.403_205.09712,L-Tryptophan,C11 H12 N2 O2,187.06331,3,2,NA,0,adduct -17Da,"L-Tryptophan, D-Tryptophan","L-Tryptophan, D-Tryptophan",L-tryptophan,100,L1
