...1,ko_id,fasta
DNA-1-22_bin_14_k127_12983828_3,K00799,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12983828_4,K09981,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12983828_7,K07059,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12983828_9,K01004,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12992875_1,K01749,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12992875_2,K04487,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13055968_1,K03496,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13055968_2,K03497,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13055968_3,K02109,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13055968_4,K02109,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13055968_5,K02113,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13112815_1,K01953,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13112815_8,K13659,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13261820_2,K03392,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13278248_4,K09825,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13292799_1,K03770,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13292799_2,K03569,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13292799_3,K03570,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13292799_4,K03571,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13292799_5,K05515,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13292799_6,K05837,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13292799_7,K03671,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13350152_2,K00645,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13350152_3,K03621,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13350152_4,K02911,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13350152_5,K07040,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13350152_6,K02518,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13429448_1,K07263,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13475395_3,K08683,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13475395_4,K03750,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13500245_5,K08234,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_1358185_2,K06204,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_1358185_4,K00570,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_1358824_3,K06929,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_1358824_5,K06200,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13640241_2,K07544,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13640241_4,K06015,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13640403_2,K00342,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13640403_3,K00343,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13831156_4,K00208,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_13917382_4,K01687,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_1401857_3,K02435,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_1401857_4,K03790,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_1433748_3,K00799,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_14413513_1,K10536,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_14413513_2,K12251,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_14413513_3,K01585,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_14413513_4,K07566,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_14413513_5,K00031,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_14413513_7,K00059,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_14462825_3,K01434,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_14562053_3,K00074,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_14562053_5,K21142,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_14768247_4,K18290,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_14768247_5,K01644,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_14867011_5,K09981,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_14867011_9,K07491,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_14867011_12,K07075,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_14867011_13,K11477,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_14875064_1,K01872,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_14932797_1,K01866,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_14932797_2,K18682,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_14932797_3,K09888,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_14932797_5,K03110,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_15001210_5,K02450,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_15007418_2,K03818,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_15018711_3,K14340,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_15094760_1,K07258,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_15098902_1,K03642,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_15124826_1,K07798,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_15124826_2,K15725,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_15215630_5,K03711,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_15215630_6,K03424,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_15486210_3,K03821,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_15509976_2,K09791,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_15509976_5,K11211,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_15534254_2,K03561,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_15534254_3,K03559,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_15664394_9,K02448,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_15700346_1,K14205,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_15722365_3,K21022,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_15722365_5,K06015,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_15722365_6,K06137,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_15737163_3,K03978,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16049276_4,K00059,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16049276_5,K11410,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16133479_6,K03205,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16242419_2,K02337,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16331925_1,K03701,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16331925_2,K06893,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_163844_1,K00330,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_163844_2,K00332,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_163844_3,K00333,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_163844_4,K00334,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16440081_3,K16841,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16440081_5,K01921,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16509692_2,K01000,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16509692_3,K01925,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16509692_4,K03588,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16509692_6,K01924,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16509692_7,K00075,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16509692_8,K01921,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16509692_9,K03589,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16510088_2,K06207,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16510088_4,K07025,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16510088_7,K03405,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16529343_2,K07323,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_1653697_2,K18702,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16581600_2,K10804,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16581600_5,K02004,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16581600_7,K02067,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16581600_13,K20074,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16590772_3,K01892,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16739327_2,K00145,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16739327_3,K21345,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16758666_2,K11719,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16758666_3,K01627,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16758666_5,K00979,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16758666_6,K03575,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16846929_1,K07443,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16846929_2,K00344,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16846929_3,K01426,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16861320_1,K00809,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16887450_3,K15866,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16887450_5,K03742,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16890263_2,K03584,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16890263_3,K01880,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_1697133_1,K03168,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16990878_2,K00320,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_16990878_4,K00059,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_17005741_6,K15634,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_17005741_7,K07027,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_17013218_1,K21417,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_17013218_3,K07097,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_17013218_4,K14445,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_17023941_3,K01607,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_17117184_3,K07715,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_17119688_2,K03074,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_17119688_3,K03072,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_17119688_4,K03210,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_17376597_1,K03655,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_17421440_1,K03650,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_17421440_2,K03495,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_17507369_1,K03529,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_17596528_2,K00146,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_17596528_3,K07305,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_17682166_3,K07465,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_17682166_4,K11741,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_17761404_3,K19745,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_17762653_5,K16254,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_17821692_3,K09701,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_17852147_2,K11945,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_179034_2,K03089,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_179034_3,K00953,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18002268_4,K16870,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18002268_6,K18814,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18010795_1,K07492,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18010795_3,K00344,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18162645_3,K00548,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18162645_8,K08484,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18230008_1,K01696,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18230008_2,K01817,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18230008_3,K01609,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18230008_4,K00766,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18230008_6,K02879,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18230008_7,K03040,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18230008_8,K02986,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18254066_7,K07152,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18265108_3,K23107,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18325012_2,K02355,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18430849_1,K17103,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18430849_2,K01613,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18430849_3,K00053,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18430849_4,K01653,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18430849_5,K09794,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18430849_6,K02355,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18433558_3,K25706,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18433558_4,K02528,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18525771_3,K03926,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18525771_5,K03699,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18525771_6,K01754,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18540882_2,K06015,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18566425_2,K01835,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18595319_3,K09386,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18595319_4,K05773,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18595319_10,K06857,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18595319_13,K01174,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18627463_1,K25152,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18627463_2,K25151,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18627463_3,K25153,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_1867572_5,K22108,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18750797_2,K01738,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18755415_1,K08309,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18755415_2,K22704,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18755415_3,K02558,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18772089_8,K02003,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18772089_9,K02004,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_18875872_6,K03088,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19074582_3,K04078,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19074582_4,K04077,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19074582_6,K00573,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19164664_3,K25152,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19164664_4,K25151,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19199324_4,K07068,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19224562_2,K02584,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19226759_5,K13963,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19274706_2,K02939,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19274706_3,K02963,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19274706_4,K02990,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19274706_6,K02897,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19283073_2,K03153,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19340550_6,K00677,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19372689_4,K06996,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_1939364_1,K03284,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_1939364_2,K06901,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_194117_3,K03117,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_194117_4,K03118,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_1941411_1,K02435,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_1941411_2,K07460,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_1941411_3,K01875,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_1941411_5,K02636,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19441598_2,K00036,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19441598_3,K00845,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19454507_1,K01596,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19454507_2,K00798,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19454507_9,K14448,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19454507_10,K01644,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19487427_1,K02238,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19487427_2,K03703,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19497819_1,K13924,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19498997_2,K06044,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19503356_2,K00320,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19587526_1,K03832,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19587526_5,K02356,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19587526_7,K00570,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19592477_1,K01473,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19592477_4,K08972,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19595748_2,K01640,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19595748_4,K08234,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_1960905_4,K00077,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19682538_1,K07502,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19682538_2,K18336,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19682538_3,K09763,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19705567_3,K00919,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19705567_4,K01092,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19716289_6,K03568,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19778648_3,K03551,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19778648_4,K03550,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19778648_5,K01159,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19788374_2,K01887,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19788374_3,K04096,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19861217_1,K07042,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19861217_2,K03820,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19861217_3,K02836,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19861217_4,K15539,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19861217_6,K14441,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19861217_7,K06204,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19881806_2,K02231,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19881806_3,K00768,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19881806_6,K02227,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_19935156_2,K03969,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_20020404_2,K09165,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_20020404_4,K07501,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_20020404_6,K06001,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_20020404_8,K06978,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_2015821_2,K13894,DNA-1-22_bin_14
