fasta,ko_id,response_type,Month,getmm_mean,Domain,Phylum,Class,Order,Family,Genus,Species,gene_name,gene_abb,Category_1,Category_2
DNA-1-22_bin_14,K00031,Dry,October,3.169255005043297,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,isocitrate dehydrogenase,IDH1,NA,TCA
DNA-1-22_bin_14,K00031,Dry,May_22,3.8970171559823825,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,isocitrate dehydrogenase,IDH1,NA,TCA
DNA-1-22_bin_14,K00033,Dry,May,1.1621782877743094,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,6-phosphogluconate dehydrogenase,PGD,NA,Pentose phosphate pathway
DNA-1-22_bin_14,K00033,Dry,July_1,1.6532207340564935,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,6-phosphogluconate dehydrogenase,PGD,NA,Pentose phosphate pathway
DNA-1-22_bin_14,K00033,Dry,July_2,1.2006423352973417,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,6-phosphogluconate dehydrogenase,PGD,NA,Pentose phosphate pathway
DNA-1-22_bin_14,K00033,Dry,July_3,0.468874620517583,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,6-phosphogluconate dehydrogenase,PGD,NA,Pentose phosphate pathway
DNA-1-22_bin_14,K00033,Dry,August,1.7242302942946344,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,6-phosphogluconate dehydrogenase,PGD,NA,Pentose phosphate pathway
DNA-1-22_bin_14,K00033,Dry,October,1.4000529079478319,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,6-phosphogluconate dehydrogenase,PGD,NA,Pentose phosphate pathway
DNA-1-22_bin_14,K00033,Dry,May_22,2.340138780125642,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,6-phosphogluconate dehydrogenase,PGD,NA,Pentose phosphate pathway
DNA-1-22_bin_14,K00036,Dry,May,1.9567056280360267,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,Glucose-6-phosphate 1-dehydrogenase,zwf,NA,Pentose phosphate pathway
DNA-1-22_bin_14,K00036,Dry,July_1,3.1701466246523666,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,Glucose-6-phosphate 1-dehydrogenase,zwf,NA,Pentose phosphate pathway
DNA-1-22_bin_14,K00036,Dry,July_2,3.1098487881086267,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,Glucose-6-phosphate 1-dehydrogenase,zwf,NA,Pentose phosphate pathway
DNA-1-22_bin_14,K00036,Dry,July_3,3.086255134367859,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,Glucose-6-phosphate 1-dehydrogenase,zwf,NA,Pentose phosphate pathway
DNA-1-22_bin_14,K00036,Dry,August,2.7761117707264487,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,Glucose-6-phosphate 1-dehydrogenase,zwf,NA,Pentose phosphate pathway
DNA-1-22_bin_14,K00036,Dry,October,0.9130205615522463,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,Glucose-6-phosphate 1-dehydrogenase,zwf,NA,Pentose phosphate pathway
DNA-1-22_bin_14,K00036,Dry,May_22,1.705434962802042,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,Glucose-6-phosphate 1-dehydrogenase,zwf,NA,Pentose phosphate pathway
DNA-1-22_bin_14,K00147,Dry,May,1.1352207684057019,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,glutamate-5-semialdehyde dehydrogenase,proA,AA,Nitrogen metabolism
DNA-1-22_bin_14,K00147,Dry,July_1,1.996862446694427,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,glutamate-5-semialdehyde dehydrogenase,proA,AA,Nitrogen metabolism
DNA-1-22_bin_14,K00147,Dry,July_2,1.3000247830685643,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,glutamate-5-semialdehyde dehydrogenase,proA,AA,Nitrogen metabolism
DNA-1-22_bin_14,K00147,Dry,July_3,0.9233977631808173,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,glutamate-5-semialdehyde dehydrogenase,proA,AA,Nitrogen metabolism
DNA-1-22_bin_14,K00147,Dry,August,1.2447952192851615,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,glutamate-5-semialdehyde dehydrogenase,proA,AA,Nitrogen metabolism
DNA-1-22_bin_14,K00147,Dry,October,1.1794379755326458,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,glutamate-5-semialdehyde dehydrogenase,proA,AA,Nitrogen metabolism
DNA-1-22_bin_14,K00147,Dry,May_22,0.6940183443936929,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,glutamate-5-semialdehyde dehydrogenase,proA,AA,Nitrogen metabolism
DNA-1-22_bin_14,K00362,Dry,May,6.32158178242504,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,nitrite reductase (NADH) large subunit,nirB,Nitrite Ammonia,Nitrogen metabolism
DNA-1-22_bin_14,K00362,Dry,July_1,6.542267802480144,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,nitrite reductase (NADH) large subunit,nirB,Nitrite Ammonia,Nitrogen metabolism
DNA-1-22_bin_14,K00362,Dry,July_2,5.38610234386775,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,nitrite reductase (NADH) large subunit,nirB,Nitrite Ammonia,Nitrogen metabolism
DNA-1-22_bin_14,K00362,Dry,July_3,2.3507346970028125,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,nitrite reductase (NADH) large subunit,nirB,Nitrite Ammonia,Nitrogen metabolism
DNA-1-22_bin_14,K00362,Dry,August,5.371464404468294,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,nitrite reductase (NADH) large subunit,nirB,Nitrite Ammonia,Nitrogen metabolism
DNA-1-22_bin_14,K00362,Dry,October,3.407234869700928,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,nitrite reductase (NADH) large subunit,nirB,Nitrite Ammonia,Nitrogen metabolism
DNA-1-22_bin_14,K00362,Dry,May_22,4.698021576339803,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,nitrite reductase (NADH) large subunit,nirB,Nitrite Ammonia,Nitrogen metabolism
DNA-1-22_bin_14,K00366,Dry,May,1.0348065278285286,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,ferredoxin-nitrite reductase,nirA,Assimilatory nitrate_nitrite reduction,Nitrogen metabolism
DNA-1-22_bin_14,K00366,Dry,July_1,17.483016144153925,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,ferredoxin-nitrite reductase,nirA,Assimilatory nitrate_nitrite reduction,Nitrogen metabolism
DNA-1-22_bin_14,K00366,Dry,July_2,1.693934070532259,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,ferredoxin-nitrite reductase,nirA,Assimilatory nitrate_nitrite reduction,Nitrogen metabolism
DNA-1-22_bin_14,K00366,Dry,July_3,5.246053751097954,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,ferredoxin-nitrite reductase,nirA,Assimilatory nitrate_nitrite reduction,Nitrogen metabolism
DNA-1-22_bin_14,K00366,Dry,August,3.3419933823074754,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,ferredoxin-nitrite reductase,nirA,Assimilatory nitrate_nitrite reduction,Nitrogen metabolism
DNA-1-22_bin_14,K00366,Dry,October,0.7705639681568194,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,ferredoxin-nitrite reductase,nirA,Assimilatory nitrate_nitrite reduction,Nitrogen metabolism
DNA-1-22_bin_14,K00366,Dry,May_22,2.119709148214806,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,ferredoxin-nitrite reductase,nirA,Assimilatory nitrate_nitrite reduction,Nitrogen metabolism
DNA-1-22_bin_14,K00380,Dry,May,9.195397843870946,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,sulfite reductase (NADPH) flavoprotein alpha-component,cysJ,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00380,Dry,July_1,15.320617903574348,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,sulfite reductase (NADPH) flavoprotein alpha-component,cysJ,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00380,Dry,July_2,6.04234770711779,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,sulfite reductase (NADPH) flavoprotein alpha-component,cysJ,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00380,Dry,July_3,3.953215020893525,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,sulfite reductase (NADPH) flavoprotein alpha-component,cysJ,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00380,Dry,August,10.109409937436583,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,sulfite reductase (NADPH) flavoprotein alpha-component,cysJ,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00380,Dry,October,7.8358762352988265,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,sulfite reductase (NADPH) flavoprotein alpha-component,cysJ,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00380,Dry,May_22,4.590132150166902,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,sulfite reductase (NADPH) flavoprotein alpha-component,cysJ,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00390,Dry,May,1.3759186212474335,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,phosphoadenosine phosphosulfate reductase,cysH,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00390,Dry,July_1,28.370975702701895,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,phosphoadenosine phosphosulfate reductase,cysH,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00390,Dry,July_2,2.645859026036885,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,phosphoadenosine phosphosulfate reductase,cysH,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00390,Dry,July_3,8.86869114737802,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,phosphoadenosine phosphosulfate reductase,cysH,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00390,Dry,August,6.315542726550837,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,phosphoadenosine phosphosulfate reductase,cysH,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00390,Dry,October,2.177162268940759,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,phosphoadenosine phosphosulfate reductase,cysH,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00390,Dry,May_22,2.761007310006081,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,phosphoadenosine phosphosulfate reductase,cysH,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00605,Dry,May,0.7139023188292597,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,glycine cleavage system T protein (aminomethyltransferase),gcvT,NA,Glycine cleavage
DNA-1-22_bin_14,K00605,Dry,July_1,1.3100814793215871,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,glycine cleavage system T protein (aminomethyltransferase),gcvT,NA,Glycine cleavage
DNA-1-22_bin_14,K00605,Dry,July_2,0.8524608200988437,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,glycine cleavage system T protein (aminomethyltransferase),gcvT,NA,Glycine cleavage
DNA-1-22_bin_14,K00605,Dry,July_3,0.5147716233326931,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,glycine cleavage system T protein (aminomethyltransferase),gcvT,NA,Glycine cleavage
DNA-1-22_bin_14,K00605,Dry,August,1.325503022288212,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,glycine cleavage system T protein (aminomethyltransferase),gcvT,NA,Glycine cleavage
DNA-1-22_bin_14,K00605,Dry,October,1.0971980894181346,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,glycine cleavage system T protein (aminomethyltransferase),gcvT,NA,Glycine cleavage
DNA-1-22_bin_14,K00605,Dry,May_22,1.3821053402673122,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,glycine cleavage system T protein (aminomethyltransferase),gcvT,NA,Glycine cleavage
DNA-1-22_bin_14,K00615,Dry,May,2.343554120690169,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,transketolase,tkt,NA,Pentose phosphate pathway
DNA-1-22_bin_14,K00615,Dry,July_1,4.797033041466618,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,transketolase,tkt,NA,Pentose phosphate pathway
DNA-1-22_bin_14,K00615,Dry,July_2,1.6427062721570318,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,transketolase,tkt,NA,Pentose phosphate pathway
DNA-1-22_bin_14,K00615,Dry,July_3,1.3372477281505195,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,transketolase,tkt,NA,Pentose phosphate pathway
DNA-1-22_bin_14,K00615,Dry,August,3.9981444322324755,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,transketolase,tkt,NA,Pentose phosphate pathway
DNA-1-22_bin_14,K00615,Dry,October,0.6068847586359031,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,transketolase,tkt,NA,Pentose phosphate pathway
DNA-1-22_bin_14,K00615,Dry,May_22,1.2692495368814742,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,transketolase,tkt,NA,Pentose phosphate pathway
DNA-1-22_bin_14,K00681,Dry,May,0.976403183951158,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,gamma-glutamyltranspeptidase / glutathione hydrolase,ggt,Glutamine_glutamate_ammonium assimilation,Nitrogen metabolism
DNA-1-22_bin_14,K00681,Dry,July_1,1.1377189218116532,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,gamma-glutamyltranspeptidase / glutathione hydrolase,ggt,Glutamine_glutamate_ammonium assimilation,Nitrogen metabolism
DNA-1-22_bin_14,K00681,Dry,July_2,0.33779144986489223,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,gamma-glutamyltranspeptidase / glutathione hydrolase,ggt,Glutamine_glutamate_ammonium assimilation,Nitrogen metabolism
DNA-1-22_bin_14,K00681,Dry,July_3,0.2551005954815407,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,gamma-glutamyltranspeptidase / glutathione hydrolase,ggt,Glutamine_glutamate_ammonium assimilation,Nitrogen metabolism
DNA-1-22_bin_14,K00681,Dry,August,0.6226979494947302,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,gamma-glutamyltranspeptidase / glutathione hydrolase,ggt,Glutamine_glutamate_ammonium assimilation,Nitrogen metabolism
DNA-1-22_bin_14,K00681,Dry,October,0.6476363893198858,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,gamma-glutamyltranspeptidase / glutathione hydrolase,ggt,Glutamine_glutamate_ammonium assimilation,Nitrogen metabolism
DNA-1-22_bin_14,K00681,Dry,May_22,1.4191066241572767,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,gamma-glutamyltranspeptidase / glutathione hydrolase,ggt,Glutamine_glutamate_ammonium assimilation,Nitrogen metabolism
DNA-1-22_bin_14,K00860,Dry,May,13.410162036102799,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,adenylylsulfate kinase,cysC,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00860,Dry,July_1,13.65514589829544,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,adenylylsulfate kinase,cysC,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00860,Dry,July_2,6.490646338583629,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,adenylylsulfate kinase,cysC,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00860,Dry,July_3,2.3789059031821944,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,adenylylsulfate kinase,cysC,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00860,Dry,August,7.405897362277484,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,adenylylsulfate kinase,cysC,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00860,Dry,October,6.94733844245125,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,adenylylsulfate kinase,cysC,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00860,Dry,May_22,7.770397795807963,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,adenylylsulfate kinase,cysC,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00931,Dry,May,2.7823687314634187,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,glutamate 5-kinase,proB,AA,Nitrogen metabolism
DNA-1-22_bin_14,K00931,Dry,July_1,2.5971882948985026,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,glutamate 5-kinase,proB,AA,Nitrogen metabolism
DNA-1-22_bin_14,K00931,Dry,July_2,0.7718511810240867,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,glutamate 5-kinase,proB,AA,Nitrogen metabolism
DNA-1-22_bin_14,K00931,Dry,July_3,0.7523132644315512,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,glutamate 5-kinase,proB,AA,Nitrogen metabolism
DNA-1-22_bin_14,K00931,Dry,August,1.7125656199005475,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,glutamate 5-kinase,proB,AA,Nitrogen metabolism
DNA-1-22_bin_14,K00931,Dry,October,2.876748188290396,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,glutamate 5-kinase,proB,AA,Nitrogen metabolism
DNA-1-22_bin_14,K00931,Dry,May_22,2.218250634528148,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,glutamate 5-kinase,proB,AA,Nitrogen metabolism
DNA-1-22_bin_14,K00955,Dry,May,2.093431984621044,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,bifunctional enzyme CysN/CysC,cysNC,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00955,Dry,July_1,3.812045390705616,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,bifunctional enzyme CysN/CysC,cysNC,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00955,Dry,July_2,3.3027544601561876,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,bifunctional enzyme CysN/CysC,cysNC,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00955,Dry,July_3,1.493014295912534,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,bifunctional enzyme CysN/CysC,cysNC,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00955,Dry,August,2.4190470786740996,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,bifunctional enzyme CysN/CysC,cysNC,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00955,Dry,October,5.019230626456488,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,bifunctional enzyme CysN/CysC,cysNC,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00955,Dry,May_22,2.0107883449679615,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,bifunctional enzyme CysN/CysC,cysNC,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00956,Dry,May,0.14141940785201237,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,sulfate adenylyltransferase subunit 1,cysN,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00956,Dry,July_1,1.0135335042363276,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,sulfate adenylyltransferase subunit 1,cysN,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00956,Dry,July_2,0.6770834286607285,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,sulfate adenylyltransferase subunit 1,cysN,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00956,Dry,July_3,0.3038990485560378,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,sulfate adenylyltransferase subunit 1,cysN,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00956,Dry,August,0.46910681769026563,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,sulfate adenylyltransferase subunit 1,cysN,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K00956,Dry,May_22,0.24779141212625966,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,sulfate adenylyltransferase subunit 1,cysN,Assimilatory sulfate reduction,Sulfur metabolism
DNA-1-22_bin_14,K01006,Dry,May,13.315132584544735,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,orthophosphate dikinase,ppdK,NA,Glycolisis
DNA-1-22_bin_14,K01006,Dry,July_1,9.991024601520499,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,orthophosphate dikinase,ppdK,NA,Glycolisis
DNA-1-22_bin_14,K01006,Dry,July_2,5.760276830087902,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,orthophosphate dikinase,ppdK,NA,Glycolisis
DNA-1-22_bin_14,K01006,Dry,July_3,3.4779567743937467,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,orthophosphate dikinase,ppdK,NA,Glycolisis
DNA-1-22_bin_14,K01006,Dry,August,7.419329819684483,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,orthophosphate dikinase,ppdK,NA,Glycolisis
DNA-1-22_bin_14,K01006,Dry,October,16.533485869627484,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,orthophosphate dikinase,ppdK,NA,Glycolisis
DNA-1-22_bin_14,K01006,Dry,May_22,5.0365260910279686,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,orthophosphate dikinase,ppdK,NA,Glycolisis
DNA-1-22_bin_14,K01077,Dry,May,0.238597022790351,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,alkaline phosphatase D,phoA,alkaline phosphatase,Phosphorous metabolism
DNA-1-22_bin_14,K01077,Dry,July_1,1.7155919601284433,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,alkaline phosphatase D,phoA,alkaline phosphatase,Phosphorous metabolism
DNA-1-22_bin_14,K01077,Dry,July_2,0.7230651437224646,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,alkaline phosphatase D,phoA,alkaline phosphatase,Phosphorous metabolism
DNA-1-22_bin_14,K01077,Dry,July_3,0.48684046142267035,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,alkaline phosphatase D,phoA,alkaline phosphatase,Phosphorous metabolism
DNA-1-22_bin_14,K01077,Dry,August,1.0210733414755178,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,alkaline phosphatase D,phoA,alkaline phosphatase,Phosphorous metabolism
DNA-1-22_bin_14,K01077,Dry,October,0.5116828822697705,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,alkaline phosphatase D,phoA,alkaline phosphatase,Phosphorous metabolism
DNA-1-22_bin_14,K01077,Dry,May_22,0.45536784550596493,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,alkaline phosphatase D,phoA,alkaline phosphatase,Phosphorous metabolism
DNA-1-22_bin_14,K01596,Dry,May,8.067298123061919,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,phosphoenolpyruvate carboxykinase,PCK,NA,Gluconeogenesis
